feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,score_anova_norm,score_mi_norm,score_rf_norm,composite_score,selected
grav_taqui_flag,3257.903086985114,0.0,0.43813186454447717,0.1103611832446631,1.0,0.9923264676970482,1.0,0.9974421558990162,True
grav_extre_flag,2953.925407768936,0.0,0.4122203882366948,0.06842506842845394,0.9066942619893535,0.9313553943895523,0.620010282752771,0.8193533130438923,True
grav_consc_flag,2399.913514217485,1.1304518684702852e-303,0.42134503081784946,0.07594757194928893,0.7366406951360716,0.9528261606674732,0.68817286763697,0.7925465744801716,True
alrm_abdom_flag,1432.1251455459708,2.953379382015044e-215,0.4413929609903633,0.08423246111545321,0.43957872594853464,1.0,0.7632435484921876,0.7342740914802407,True
alrm_vom_flag,1769.6552800806978,3.7505331553050594e-249,0.3927383413567611,0.07068490623650618,0.5431833668708652,0.8855131083543197,0.6404870277605001,0.6897278343285617,True
grav_hipot_flag,1976.7585206739557,3.438684054722209e-268,0.41212714120017924,0.05318595066724841,0.6067535630700668,0.9311359791840439,0.48192624529350003,0.6732719291825369,True
alrm_plaq_flag,1521.3074380278078,1.3577480942181654e-224,0.37983668096403655,0.058995940053137574,0.46695316883182736,0.8551548195308856,0.5345714708617039,0.6188931530748056,True
grav_insuf_flag,1961.627755333348,7.706036033062323e-267,0.3891452830189852,0.03774496126886471,0.6021091851328061,0.8770584521738516,0.34201301725070077,0.6070602181857861,True
grav_pulso_flag,1807.3426722163922,1.0422766401352326e-252,0.3813638154371761,0.03030906063281148,0.554751485773493,0.8587482476631233,0.2746351546958172,0.5627116293774778,True
alrm_sang_flag,890.1041188955679,3.4780212384548304e-151,0.38359852953703766,0.04305281216304136,0.27320574738211184,0.8640066480562738,0.3901082871465437,0.5091068941949765,True
alrm_letar_flag,1226.052898939505,1.722147709506222e-192,0.3683349891519778,0.03550042396808054,0.3763249926392078,0.8280907307733246,0.32167491254038627,0.5086968786509729,True
alrm_hipot_flag,793.7623456894895,3.364509359909994e-138,0.3501177548177403,0.04690631965671903,0.24363370685128508,0.7852246155099876,0.4250255232651046,0.4846279485421257,True
grav_orgao_flag,980.0181274348737,8.1818938805341e-163,0.3490214493883843,0.017663259803514977,0.3008047900022418,0.7826449508893115,0.16004956891733166,0.41449976993629495,True
grav_hemat_flag,1240.8285231941527,3.503960074272425e-194,0.3331653564293826,0.012917783570749363,0.3808603602662087,0.7453347260804147,0.11705006408015334,0.41441505014225893,True
grav_ench_flag,1126.4674896015958,7.838380830761828e-181,0.33915776090884653,0.013595229242264771,0.34575732024521644,0.7594351705501042,0.1231885056190915,0.4094603321381374,True
alrm_hepat_flag,1028.1593461206642,7.389330257579256e-169,0.31199316253346865,0.012587925373829238,0.3155817037210125,0.6955154347835859,0.11406116719429037,0.37505276856629627,True
grav_conv_flag,1048.4596298702293,2.270801734348734e-171,0.3030084222149294,0.008461247862148013,0.3218128617519667,0.6743738659241558,0.07666869467492034,0.3576184741170143,True
alrm_liq_flag,163.30957491797554,2.0432138700436024e-35,0.34043503275879616,0.02770589354206512,0.05011666570084289,0.7624406587234466,0.2510474491800534,0.3545349245347809,True
alrm_hemat_flag,287.57430556614065,1.036993739605466e-58,0.3179366256505247,0.025032244990835253,0.08825963867082721,0.7095007176407261,0.22682110009042306,0.34152715213399215,True
caso_dengue_alarme,5.117801334651841,0.02383735705530206,0.3285612603296757,0.010130722988471983,0.0015598104098062627,0.734501044607558,0.09179607077982183,0.27595230859906206,True
exantema_flag,22.69220243312539,2.1030363844977257e-06,0.3305389732117743,0.0024940876165451997,0.006954260649759667,0.7391547075514713,0.02259931928254137,0.2562360958279241,False
