ANO_SEMANA,ANO_EPI,SEMANA_EPI,NOTIFICACOES,idade_anos,atraso_notificacao_dias,sexo_masc,sexo_fem,gestante,hospitalizado,obito_agravo,obito_outras_causas,criterio_lab,criterio_clinico_epi,criterio_clinico,caso_confirmado_provavel,caso_descartado,caso_inconclusivo,caso_dengue_alarme,caso_dengue_grave,caso_chikungunya,raca_branca,raca_preta,raca_amarela,raca_parda,raca_indigena,febre_flag,mialgia_flag,cefaleia_flag,exantema_flag,vomito_flag,nausea_flag,dor_costas_flag,conjuntvit_flag,artrite_flag,artralgia_flag,petequia_n_flag,leucopenia_flag,laco_flag,dor_retro_flag,diabetes_flag,hematolog_flag,hepatopat_flag,renal_flag,hipertensa_flag,acido_pept_flag,auto_imune_flag,alrm_hipot_flag,alrm_plaq_flag,alrm_vom_flag,alrm_sang_flag,alrm_hemat_flag,alrm_abdom_flag,alrm_letar_flag,alrm_hepat_flag,alrm_liq_flag,grav_pulso_flag,grav_conv_flag,grav_ench_flag,grav_insuf_flag,grav_taqui_flag,grav_extre_flag,grav_hipot_flag,grav_hemat_flag,grav_melen_flag,grav_metro_flag,grav_sang_flag,grav_ast_flag,grav_mioc_flag,grav_consc_flag,grav_orgao_flag,mani_hemor_flag,epistaxe_flag,gengivo_flag,metro_flag,petequias_flag,hematura_flag,sangram_flag,laco_n_flag,plasmatico_flag,evidencia_flag,plaq_menor_flag,con_fhd_flag
200001,2000,1,4813,8.137157534246576,30.07749844172034,0.44608352378973615,0.5510076875129857,0.0,0.009013190909742619,0.0,0.0,0.3638392857142857,0.5647321428571428,0.0714285714285714,0.5,0.0,0.125,0.0,0.0,0.0,0.055621550330174595,0.0,0.0108334311963071,0.09840122012544524,0.0,0.9802866712866712,0.799909506131494,0.92933322544101,0.5492400927641079,0.09615384615384616,0.3076923076923077,0.0,0.0,0.0,0.709210642721281,0.0,0.0,0.21145227505987,0.40384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0391575200237318,0.0199404761904761,0.0,0.2193585337915234,0.0,0.0,,,,0.0,
200002,2000,2,4063,102.72976338729764,20.089835097218803,0.4646812699975388,0.5323652473541718,0.09090909090909091,0.02498150431565968,0.0,0.0,0.5974025974025974,0.40259740259740256,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.050699722923671094,0.03269811937395847,0.0,0.1154982330403867,0.0,0.9731468531468532,0.8135391923990499,0.9220742419948994,0.479282622139765,,,,,,0.7246467817896389,,,0.1824817518248175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0378890392422192,0.0183861082737487,0.0,0.1763553233180927,0.0,0.0,,,,0.0,
200003,2000,3,3603,62.15890410958904,33.35886761032473,0.4524007771301693,0.5437135720233139,0.0,0.03838664812239215,0.0,0.0,0.44,0.49333333333333335,0.06666666666666667,0.5333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.12157857869764606,0.011590870042160546,0.0003700619853825514,0.1004321795329289,0.0,0.9750891184631997,0.7829141915141539,0.9126581084019514,0.4581517539792922,0.19047619047619047,0.5714285714285714,0.19047619047619047,0.0,0.0,0.6811681843725799,0.0,0.0,0.2545177758029099,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0196152395322519,0.0169939577039274,0.0,0.152741994847258,0.0,0.0,,,,0.0,
200004,2000,4,4150,64.1622760800843,25.52819277108434,0.45421686746987944,0.5407228915662651,0.0,0.03829068083051666,0.0,0.0,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.46153846153846156,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0829152676278885,0.0165830535255777,0.0165830535255777,0.11511751925735726,0.0,0.9782677865301352,0.7892444444444445,0.930142753973763,0.4284813725358513,0.0,0.0,0.0,0.0,0.0,0.6631248807796897,0.0,0.0,0.19267073979350188,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0282522996057818,0.0191355988122731,0.0092592592592592,0.1707395498392283,0.0,0.0101010101010101,,,,0.0,
200005,2000,5,4855,53.27065609228551,34.68609680741503,0.4337796086508753,0.5621009268795055,0.0,0.03673545708229355,0.0,0.0,0.5526315789473685,0.4473684210526316,0.0,0.47368421052631576,0.0,0.42105263157894735,0.0,0.0,0.0,0.11004548575351872,0.02334577754891864,0.0,0.11847966014418125,0.00020597322348094737,0.9757786358417803,0.7830078045294664,0.9327793226896239,0.4618392628718467,0.19444444444444442,0.2916666666666667,0.0972222222222222,0.0,0.0972222222222222,0.6636857657155362,0.0,0.0972222222222222,0.15206170007244627,0.19444444444444442,0.0972222222222222,0.0972222222222222,0.0972222222222222,0.0972222222222222,0.0972222222222222,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0288915094339622,0.018595041322314,0.0,0.1702188940092165,0.0078740157480314,0.0079365079365079,,,,0.0,
200006,2000,6,5804,68.6613277133825,33.03514817367333,0.4471054445210199,0.5496209510682288,0.0769230769230769,0.010674864647408924,0.0,0.0,0.532051282051282,0.46794871794871795,0.0,0.38461538461538464,0.0,0.2692307692307692,0.0,0.0,0.0,0.0755605309576708,0.0339381930956706,0.0005698987435720721,0.13120969743557606,0.0,0.9764993502079226,0.8025043253051959,0.9438185229693523,0.46340498846629224,0.75,0.25,0.25,0.0,0.0,0.6716338649188096,0.0,0.0,0.1761698342723829,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0281265695630336,0.0166204986149584,0.0066225165562913,0.1412457086807258,0.007751937984496099,0.015503875968992198,,,,0.0,
200007,2000,7,6797,110.5432003176494,31.94600559070178,0.4375459761659556,0.559511549212888,0.0,0.027967746681410655,0.0,0.0,0.4596273291925465,0.5403726708074533,0.0,0.5652173913043478,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.1237642086044642,0.01719347647349069,0.0,0.13494862587257112,0.0,0.9735946667780663,0.7942760670933052,0.9365839008298795,0.48629722925333946,0.26666666666666666,0.33333333333333326,0.33333333333333326,0.0,0.0,0.6800271274906893,0.06666666666666667,0.06666666666666667,0.0909444505818235,0.33333333333333326,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0298323471400394,0.0170918999256873,0.0,0.1470945781667882,0.0,0.0,,0.0,,0.0,
200008,2000,8,7209,130.22176336287941,33.21431543903454,0.44291857400471624,0.5523650991815786,0.0,0.013863769863352412,0.0,0.0,0.5133465150766189,0.48665348492338106,0.0,0.6647058823529413,0.0,0.12205882352941178,0.0,0.0,0.0,0.13547507569782358,0.014508370104171381,0.004785017659549488,0.08826319897185259,0.0001585319937379862,0.9749722386453791,0.7998152393172254,0.9373629862000136,0.4826580751493339,0.0,0.4,0.6,0.0,0.2,0.6778049037918803,0.2,0.0,0.17909597366421878,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0211157455683003,0.0151673640167364,0.0,0.1565462464770689,0.0,0.0,,,,0.0,
200009,2000,9,6766,63.464155251141555,27.315252734259534,0.45181791309488617,0.5443393437777122,0.0,0.03442149224469785,0.0,0.0,0.2222222222222222,0.7777777777777777,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.07519524737969899,0.018452830601810778,0.0,0.06320239210179096,0.0,0.9754745304815927,0.7987699087368663,0.9267624930334571,0.5048623691507768,0.2916666666666667,0.38888888888888884,0.2916666666666667,0.0,0.0972222222222222,0.6834882186367345,0.0,0.0,0.1399722673566682,0.9027777777777778,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0334244910361592,0.0128009753124047,0.0,0.1665682220909627,0.0,0.0,,,,0.0,
200010,2000,10,7049,48.14072488584475,24.58419633990637,0.4245992339338913,0.5704355227691872,0.0,0.019395761203109742,0.0,0.0,0.6071428571428571,0.3928571428571428,0.0,0.5972222222222222,0.06944444444444445,0.1388888888888889,0.0625,0.0,0.0,0.12167823838430843,0.0292222226838905,0.0,0.10602016211286876,0.0,0.9806294858690113,0.7760284450734809,0.9430083134294975,0.49614110090955044,0.0,0.0,0.0,0.0,0.0,0.6770192324808577,0.0,0.0,0.10824099067102332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.03173828125,0.014285714285714199,0.0,0.16393442622950807,0.0,0.0,,0.0,,0.0,
