feature,pearson_corr_notificacoes,abs_corr
notificacoes_lag_1,0.9765841432278562,0.9765841432278562
notificacoes_max_movel_3,0.9519613609987002,0.9519613609987002
notificacoes_media_movel_3,0.9404629160052104,0.9404629160052104
notificacoes_lag_2,0.9345627706216816,0.9345627706216816
notificacoes_max_movel_4,0.9328501650140393,0.9328501650140393
notificacoes_media_movel_4,0.9137873796961974,0.9137873796961974
notificacoes_min_movel_3,0.9105905260592875,0.9105905260592875
alerta_notificacoes_q90,0.90366133292342,0.90366133292342
notificacoes_lag_3,0.8745436781647214,0.8745436781647214
notificacoes_desvio_movel_8,0.8647475892934439,0.8647475892934439
notificacoes_min_movel_4,0.857470408847405,0.857470408847405
notificacoes_max_movel_8,0.8405573683199586,0.8405573683199586
indice_sintomas,0.8349109942738863,0.8349109942738863
dor_costas_flag,0.8305047744446619,0.8305047744446619
artrite_flag,0.8212716648401669,0.8212716648401669
notificacoes_desvio_movel_4,0.8068020131806029,0.8068020131806029
notificacoes_desvio_movel_12,0.8015730613838506,0.8015730613838506
dor_retro_flag,0.7998176074666439,0.7998176074666439
notificacoes_lag_4,0.793325982630505,0.793325982630505
notificacoes_media_movel_8,0.7774626112118026,0.7774626112118026
notificacoes_desvio_movel_3,0.7577013487386781,0.7577013487386781
notificacoes_max_movel_12,0.7429445378362515,0.7429445378362515
febre_flag,0.7158993957189369,0.7158993957189369
laco_flag,0.7152068361650066,0.7152068361650066
cefaleia_flag,0.6962687383903586,0.6962687383903586
