feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,score_anova_norm,score_mi_norm,score_rf_norm,composite_score,selected
NOTIFICACOES,351.48690732657104,1.3759288061144512e-41,0.32379838102503233,0.1472120353035162,1.0,0.9229509818129342,1.0,0.9743169939376447,True
dor_retro_flag,225.7817664061615,5.413616663080306e-32,0.34897103905383586,0.14422703075093324,0.6423617969173693,1.0,0.9796991065803522,0.8740203011659071,True
febre_flag,134.40230771690005,9.75730234288083e-23,0.31060764277188757,0.10038260048565024,0.3823820923086066,0.882576483799874,0.6815149362780013,0.6488245041288273,True
cefaleia_flag,114.9587292205727,2.1963108878338524e-20,0.2832152499656493,0.07639944337648975,0.32706401681855657,0.7987332532161143,0.518406469351734,0.5480679131288017,True
criterio_clinico_epi,139.76941367865368,2.3353137941549942e-23,0.269473335954423,0.050010365316260186,0.3976518109363512,0.7566717044768216,0.33893543280677463,0.4977529827399825,True
nausea_flag,124.85848712580403,1.3277798358225274e-21,0.2355457689140612,0.06420057915590749,0.35522938541252436,0.6528254707201564,0.4354424945837549,0.48116578357214523,True
artralgia_flag,78.34392713700883,1.9284529605442307e-15,0.24257805525700582,0.05205806290207841,0.2228928434877619,0.674350045427929,0.3528617400244285,0.4167015429800398,True
criterio_lab,100.68236167409596,1.5206179170850169e-18,0.220337136277172,0.041222710890080234,0.2864469473933541,0.606274557769317,0.2791709558111848,0.39063082032461866,True
caso_dengue_alarme,87.35776228975206,9.943841239084831e-17,0.23195730721280472,0.03889403514098235,0.24853771197369934,0.6418418292402883,0.26333372763997553,0.38457108961798775,True
laco_flag,117.55236849497544,1.0425091874651463e-20,0.20062296804983237,0.020083232066483915,0.33444306657539374,0.5459330036691059,0.13540222816439396,0.3385927661362979,True
dor_costas_flag,120.45688941284284,4.5644963017745315e-21,0.17971204547527586,0.014272338134084503,0.34270659211043697,0.4819283978816769,0.0958825770829774,0.30683918902503043,True
artrite_flag,107.9748363896536,1.6949866298669442e-19,0.18708546869860498,0.012670951655608137,0.3071944485233903,0.5044971317589322,0.08499161338408358,0.298894397888802,True
alrm_hepat_flag,0.30749055355097077,0.5800285968398593,0.25516834047392867,0.016502584948580937,0.0008747879784007742,0.7128866637520266,0.11105039411073478,0.2749372819470541,True
