ANO_SEMANA,week_start,NOTIFICACOES,notificacoes_pct_change_1,indice_sintomas,indice_alarme,indice_gravidade,indice_desfecho_severo
202408,2024-02-19,23293,0.07350907917780436,0.3224508731815621,0.18630125372326423,0.17482993197278907,0.044587933674169127
202405,2024-01-29,22357,0.170707440959313,0.30768104451920264,0.20174442011677676,0.16132337871468302,0.042315248335815674
202409,2024-02-26,21995,-0.05572489589146956,0.31448835360919963,0.18197655186645134,0.20029914529914528,0.04253991488706237
202406,2024-02-05,21921,-0.019501722055731974,0.31869216881065215,0.19371571298153298,0.13013054158796034,0.04733960228411611
202407,2024-02-12,21698,-0.010172893572373498,0.32406831538563674,0.18667317936112376,0.13955469122797537,0.044792481912510396
202410,2024-03-04,19210,-0.12661968629233922,0.3062483373237563,0.1807304664400402,0.17087542087542087,0.04202136798727395
202404,2024-01-22,19097,0.4738751254148337,0.3074040361796518,0.19605872519647172,0.20190476190476184,0.052312535662813575
202411,2024-03-11,17343,-0.0971889640812077,0.3141626551811503,0.18918236263443514,0.18978494623655914,0.03993129466496912
202412,2024-03-18,15508,-0.10580637721270825,0.2959742036349423,0.18731653558159145,0.14033613445378146,0.03643919037653665
202403,2024-01-15,12957,0.4893103448275862,0.2928469103997881,0.20358658160415746,0.13430799220272902,0.04544354019193642
202414,2024-04-01,10665,0.03003670079196441,0.28934363727014106,0.1793860155124717,0.1623188405797101,0.03953580915899066
202413,2024-03-25,10354,-0.33234459633737423,0.28888285352163684,0.19538933181262752,0.16444444444444442,0.036326952659972274
