ANO,semanas,notificacoes_total,notificacoes_media,notificacoes_mediana,notificacoes_pico,sintomas_medios,alarme_medio,gravidade_media,atraso_medio
2022,52,73027,1404.3653846153845,749.0,4860,0.21559695330130155,0.18214154252177114,0.20027986633249792,5.471194103369593
2023,52,43083,828.5192307692307,721.0,3279,0.22301315500676017,0.19838996972949308,0.21992753623188407,5.49790102378732
2024,52,282984,5442.0,453.5,23293,0.24933233602471924,0.18980304508153736,0.19729771976767846,8.226287382693014
