year,records_brazil,status
2000,172855,ok
2001,488590,ok
2002,897093,ok
2003,416609,ok
2004,136867,ok
2005,261501,ok
2006,411022,ok
2007,717097,ok
2008,919324,ok
2009,600658,ok
2010,1381254,ok
2011,1150011,ok
2012,950180,ok
2013,2035119,ok
2014,966619,ok
2015,2398060,ok
2016,2298020,ok
2017,518483,ok
2018,478880,ok
2019,2261956,ok
2020,1495117,ok
2021,1010359,ok
2022,1405095,ok
2023,1645956,ok
2024,6564924,ok
2025,1646533,ok
2026,253941,ok
