k,silhouette,inertia
2,0.21822672510773752,91133.54734848121
3,0.19384776735584483,81421.07333980442
4,0.11343224215224966,78029.37782736894
5,0.12345583287016877,75018.06395745385
6,0.12474550770954022,72677.66720639773
7,0.12377074068016151,72465.29513256306
8,0.13296291239437688,70184.37285655313
