cluster_intensidade,cluster_perfil,semanas,notificacoes_medias,sintomas_medios,alarme_medio,gravidade_media,atraso_medio
transicao,perfil_raro,13,17390.23076923077,0.3052770245038647,0.18958660735423133,0.1666984558822813,6.355573358763239
transicao,perfil_extremo,6,6464.333333333333,0.26077676450165765,0.19262373399255772,0.16348880966528026,8.566177275540538
transicao,perfil_agudo,2,3392.5,0.28131399618226777,0.19299529906449925,0.16666666666666666,6.720065856680215
baixa_transmissao,perfil_agudo,23,2315.478260869565,0.23242278371376054,0.19484334614014917,0.2135058661145618,6.975171131645504
baixa_transmissao,perfil_extremo,16,1545.75,0.24065350095575302,0.22091751526556538,0.22181712962962963,8.069879494120665
baixa_transmissao,perfil_alterado,48,676.7916666666666,0.2183130301370331,0.1852975561990406,0.2111111111111111,5.487215517955188
baixa_transmissao,perfil_intermediario,24,459.625,0.19593713472870214,0.17673679539542111,0.2128205128205128,4.159941263322458
baixa_transmissao,perfil_basal,24,247.70833333333334,0.22080918694187102,0.18691261156538932,0.2125,8.247012431929386
