feature,missing_pct,mean,median,std,min,q25,q75,max
NOTIFICACOES,0.0,24303.833455,9397.0,43998.407293,1.0,5024.5,23230.5,433513.0
idade_anos,0.2182,119.389339,35.070383,126.739631,0.012524,30.001565,283.566512,354.557745
atraso_notificacao_dias,0.0,547.262843,6.819525,19699.736438,-43.244452,5.321067,12.555671,730496.0
hospitalizado,0.0727,0.156959,0.077996,0.217776,0.0,0.05703,0.139202,0.97436
caso_confirmado_provavel,0.2182,0.516737,0.476254,0.191764,0.063636,0.378543,0.613281,1.0
caso_inconclusivo,0.2182,0.153187,0.142938,0.078058,0.0,0.10671,0.181818,0.6
caso_dengue_alarme,0.2182,0.005924,2.8e-05,0.011887,0.0,0.0,0.008359,0.166667
caso_dengue_grave,0.2182,0.000516,0.0,0.002202,0.0,0.0,0.000798,0.071429
