ANO_SEMANA,ANO_EPI,SEMANA_EPI,NOTIFICACOES,CLUSTER,CLUSTER_LABEL
200001,2000,1,4813,1,baixa_transmissao
200002,2000,2,4063,1,baixa_transmissao
200003,2000,3,3603,1,baixa_transmissao
200004,2000,4,4150,0,transicao
200005,2000,5,4855,1,baixa_transmissao
200006,2000,6,5804,1,baixa_transmissao
200007,2000,7,6797,1,baixa_transmissao
200008,2000,8,7209,1,baixa_transmissao
200009,2000,9,6766,1,baixa_transmissao
200010,2000,10,7049,1,baixa_transmissao
200011,2000,11,7784,1,baixa_transmissao
200012,2000,12,7991,1,baixa_transmissao
200013,2000,13,7757,1,baixa_transmissao
200014,2000,14,7609,1,baixa_transmissao
200015,2000,15,6955,1,baixa_transmissao
200016,2000,16,5938,1,baixa_transmissao
200017,2000,17,6056,1,baixa_transmissao
200018,2000,18,6467,1,baixa_transmissao
200019,2000,19,5780,1,baixa_transmissao
200020,2000,20,5333,1,baixa_transmissao
200021,2000,21,3874,1,baixa_transmissao
200022,2000,22,3319,1,baixa_transmissao
200023,2000,23,3140,1,baixa_transmissao
200024,2000,24,2448,1,baixa_transmissao
200025,2000,25,2078,1,baixa_transmissao
200026,2000,26,2139,1,baixa_transmissao
200027,2000,27,1997,1,baixa_transmissao
200028,2000,28,1682,1,baixa_transmissao
200029,2000,29,1391,1,baixa_transmissao
200030,2000,30,1276,1,baixa_transmissao
200031,2000,31,1357,1,baixa_transmissao
200032,2000,32,1254,1,baixa_transmissao
200033,2000,33,1244,1,baixa_transmissao
200034,2000,34,1252,1,baixa_transmissao
200035,2000,35,976,1,baixa_transmissao
200036,2000,36,852,1,baixa_transmissao
200037,2000,37,916,1,baixa_transmissao
200038,2000,38,760,1,baixa_transmissao
200039,2000,39,691,1,baixa_transmissao
200040,2000,40,840,1,baixa_transmissao
200041,2000,41,965,1,baixa_transmissao
200042,2000,42,1220,1,baixa_transmissao
200043,2000,43,1232,1,baixa_transmissao
200044,2000,44,1266,1,baixa_transmissao
200045,2000,45,1500,1,baixa_transmissao
200046,2000,46,1644,1,baixa_transmissao
200047,2000,47,2082,1,baixa_transmissao
200048,2000,48,2026,1,baixa_transmissao
200049,2000,49,1786,1,baixa_transmissao
200050,2000,50,1719,1,baixa_transmissao
200051,2000,51,1529,1,baixa_transmissao
200052,2000,52,1391,1,baixa_transmissao
200053,2000,53,18,1,baixa_transmissao
200101,2001,1,6085,1,baixa_transmissao
200102,2001,2,6914,1,baixa_transmissao
200103,2001,3,9869,1,baixa_transmissao
200104,2001,4,11293,1,baixa_transmissao
200105,2001,5,12967,1,baixa_transmissao
200106,2001,6,15030,1,baixa_transmissao
200107,2001,7,14665,1,baixa_transmissao
200108,2001,8,11950,1,baixa_transmissao
200109,2001,9,13993,1,baixa_transmissao
200110,2001,10,16771,1,baixa_transmissao
200111,2001,11,17632,1,baixa_transmissao
200112,2001,12,18898,1,baixa_transmissao
200113,2001,13,18883,1,baixa_transmissao
200114,2001,14,22471,1,baixa_transmissao
200115,2001,15,20736,1,baixa_transmissao
200116,2001,16,24333,1,baixa_transmissao
200117,2001,17,24169,1,baixa_transmissao
200118,2001,18,25884,1,baixa_transmissao
200119,2001,19,23985,1,baixa_transmissao
200120,2001,20,66,1,baixa_transmissao
200121,2001,21,16130,1,baixa_transmissao
200122,2001,22,13952,1,baixa_transmissao
200123,2001,23,12850,1,baixa_transmissao
200124,2001,24,9493,1,baixa_transmissao
200125,2001,25,8253,1,baixa_transmissao
200126,2001,26,6510,1,baixa_transmissao
200127,2001,27,5856,1,baixa_transmissao
200128,2001,28,5137,1,baixa_transmissao
200129,2001,29,4675,1,baixa_transmissao
200130,2001,30,4185,1,baixa_transmissao
200131,2001,31,3870,1,baixa_transmissao
200132,2001,32,3424,1,baixa_transmissao
200133,2001,33,3318,1,baixa_transmissao
200134,2001,34,3090,1,baixa_transmissao
200135,2001,35,2772,1,baixa_transmissao
200136,2001,36,2409,1,baixa_transmissao
200137,2001,37,2641,1,baixa_transmissao
200138,2001,38,2411,1,baixa_transmissao
200139,2001,39,2252,1,baixa_transmissao
200140,2001,40,2646,1,baixa_transmissao
200141,2001,41,2387,1,baixa_transmissao
200142,2001,42,2878,1,baixa_transmissao
200143,2001,43,2955,1,baixa_transmissao
200144,2001,44,2623,1,baixa_transmissao
200145,2001,45,3229,1,baixa_transmissao
200146,2001,46,2912,1,baixa_transmissao
200147,2001,47,3843,1,baixa_transmissao
200148,2001,48,3914,1,baixa_transmissao
200149,2001,49,3944,1,baixa_transmissao
200150,2001,50,4274,1,baixa_transmissao
200151,2001,51,3628,1,baixa_transmissao
200152,2001,52,4266,1,baixa_transmissao
200153,2001,53,11,1,baixa_transmissao
200201,2002,1,10011,1,baixa_transmissao
200202,2002,2,14928,1,baixa_transmissao
200203,2002,3,25762,1,baixa_transmissao
200204,2002,4,36443,1,baixa_transmissao
200205,2002,5,44583,1,baixa_transmissao
200206,2002,6,46103,1,baixa_transmissao
200207,2002,7,52875,1,baixa_transmissao
200208,2002,8,72605,1,baixa_transmissao
200209,2002,9,77839,1,baixa_transmissao
200210,2002,10,75247,1,baixa_transmissao
200211,2002,11,69188,1,baixa_transmissao
200212,2002,12,57179,1,baixa_transmissao
200213,2002,13,41979,1,baixa_transmissao
200214,2002,14,40468,1,baixa_transmissao
200215,2002,15,31440,1,baixa_transmissao
200216,2002,16,26235,1,baixa_transmissao
200217,2002,17,20473,1,baixa_transmissao
200218,2002,18,15944,1,baixa_transmissao
200219,2002,19,14290,1,baixa_transmissao
