feature,pearson_corr_notificacoes,abs_corr
notificacoes_lag_1,0.9856968992028813,0.9856968992028813
notificacoes_media_movel_3,0.9588658483501857,0.9588658483501857
notificacoes_max_movel_3,0.9569041641470016,0.9569041641470016
notificacoes_lag_2,0.9551637723565986,0.9551637723565986
notificacoes_min_movel_3,0.953973340075631,0.953973340075631
notificacoes_media_movel_4,0.9406555586634449,0.9406555586634449
notificacoes_max_movel_4,0.9389283981080923,0.9389283981080923
notificacoes_min_movel_4,0.9295026502014051,0.9295026502014051
notificacoes_lag_3,0.9121721483752978,0.9121721483752978
notificacoes_lag_4,0.857372724786396,0.857372724786396
notificacoes_max_movel_8,0.8461565379643683,0.8461565379643683
notificacoes_media_movel_8,0.8400674980724672,0.8400674980724672
notificacoes_min_movel_8,0.7769018964315649,0.7769018964315649
notificacoes_max_movel_12,0.7531205125875701,0.7531205125875701
alerta_notificacoes_q90,0.7422490190625879,0.7422490190625879
notificacoes_desvio_movel_4,0.7293862693699363,0.7293862693699363
notificacoes_desvio_movel_3,0.7288208877003955,0.7288208877003955
notificacoes_media_movel_12,0.7179287834657941,0.7179287834657941
notificacoes_desvio_movel_8,0.716540098117398,0.716540098117398
notificacoes_desvio_movel_12,0.6979305052186519,0.6979305052186519
alerta_notificacoes_q75,0.6294764472485364,0.6294764472485364
notificacoes_min_movel_12,0.5803345014684552,0.5803345014684552
notificacoes_lag_8,0.5517236788139351,0.5517236788139351
semana_sin,0.4592481128574718,0.4592481128574718
indice_confirmacao,0.40879879416377174,0.40879879416377174
