ANO_SEMANA,week_start,NOTIFICACOES,notificacoes_pct_change_1,indice_sintomas,indice_alarme,indice_gravidade,indice_desfecho_severo
202412,2024-03-18,433513,0.10571152379567783,0.3085723206970116,0.0802018282886411,0.010793727074225613,0.013222796053158448
202415,2024-04-08,419145,0.01007800695483696,0.3146068113570233,0.09404243254977543,0.014631303829381912,0.0130432658660556
202414,2024-04-01,414963,0.10490327905955033,0.31384596742737436,0.08956619061220615,0.012371968393628406,0.013446524039000774
202411,2024-03-11,392067,0.07476568903460312,0.30761361861627357,0.07373391635195159,0.008545173275874505,0.01371537210249665
202416,2024-04-15,383330,-0.08544775674289329,0.3154125316722972,0.09975162873698544,0.0151697774838225,0.01333943044017755
202413,2024-03-25,375565,-0.1336707319042335,0.31157297509206583,0.08683359491214775,0.012741279276539603,0.013701963401965224
202410,2024-03-04,364793,0.06502996914039816,0.30641332639667357,0.07587375126382251,0.008323926109069435,0.014267552279407675
202409,2024-02-26,342519,0.10387446501314912,0.30420511804094913,0.07559791207336347,0.006579892000324754,0.0140265161122217
202417,2024-04-22,332746,-0.13195940834268127,0.31319367812423055,0.10184394739232447,0.015232324832546112,0.01313916780193285
202418,2024-04-29,324279,-0.025445835562260655,0.3143769160956714,0.11182589156880167,0.016680528298905796,0.013964080175237273
202419,2024-05-06,323494,-0.002420754967173311,0.3148248567415104,0.113819073614978,0.019230784618124237,0.014125016574051
202408,2024-02-19,310288,0.2439384220654266,0.30467603053780384,0.0824790308158587,0.006853567774865265,0.014499959183601
