k,silhouette,inertia
2,0.2142323844044956,92504.80191908246
3,0.18966515474734483,82792.46665154806
4,0.11718577699628878,79285.71952690829
5,0.12401851813484523,76278.03884339509
6,0.12465277872528284,74520.43262955167
7,0.13330076324708015,73368.26134435122
8,0.12786146810295643,70874.5107641331
