ANO_SEMANA,NOTIFICACOES,idade_anos,atraso_notificacao_dias,sexo_masc,sexo_fem,gestante,hospitalizado,obito_agravo,obito_outras_causas,criterio_lab,criterio_clinico_epi,criterio_clinico,caso_confirmado_provavel,caso_descartado,caso_inconclusivo,caso_dengue_alarme,caso_dengue_grave,caso_chikungunya,raca_branca,raca_preta,raca_amarela,raca_parda,raca_indigena,febre_flag,mialgia_flag,cefaleia_flag,exantema_flag,vomito_flag,nausea_flag,dor_costas_flag,conjuntvit_flag,artrite_flag,artralgia_flag,petequia_n_flag,leucopenia_flag,laco_flag,dor_retro_flag,diabetes_flag,hematolog_flag,hepatopat_flag,renal_flag,hipertensa_flag,acido_pept_flag,auto_imune_flag,alrm_hipot_flag,alrm_plaq_flag,alrm_vom_flag,alrm_sang_flag,alrm_hemat_flag,alrm_abdom_flag,alrm_letar_flag,alrm_hepat_flag,alrm_liq_flag,grav_pulso_flag,grav_conv_flag,grav_ench_flag,grav_insuf_flag,grav_taqui_flag,grav_extre_flag,grav_hipot_flag,grav_hemat_flag,grav_melen_flag,grav_metro_flag,grav_sang_flag,grav_ast_flag,grav_mioc_flag,grav_consc_flag,grav_orgao_flag,mani_hemor_flag,epistaxe_flag,gengivo_flag,metro_flag,petequias_flag,hematura_flag,sangram_flag,laco_n_flag,plasmatico_flag,evidencia_flag,plaq_menor_flag,con_fhd_flag,ANO_EPI,SEMANA_EPI
202201,776,36.288666854963985,7.217783505154639,0.4368556701030928,0.5631443298969072,0.01675257731958763,0.08684863523573201,0.0,0.003436426116838488,0.9020771513353115,0.09643916913946587,0.001483679525222552,0.8685567010309279,0.0,0.13144329896907217,0.023195876288659795,0.001288659793814433,0.0,0.07474226804123711,0.01804123711340206,0.007731958762886598,0.37757731958762886,0.001288659793814433,0.6486111111111111,0.6069444444444444,0.5708333333333333,0.08055555555555556,0.17777777777777778,0.2388888888888889,0.1375,0.013888888888888888,0.03888888888888889,0.10972222222222222,0.05694444444444444,0.075,0.006944444444444444,0.19722222222222222,0.030555555555555555,0.004166666666666667,0.004166666666666667,0.002777777777777778,0.0625,0.008333333333333333,0.005555555555555556,0.05263157894736842,0.6842105263157895,0.10526315789473684,0.15789473684210525,0.0,0.3157894736842105,0.05263157894736842,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,2022,1
202202,820,36.175108308274865,10.146341463414634,0.48048780487804876,0.5195121951219512,0.014652014652014652,0.13150684931506848,0.0,0.006611570247933884,0.9236311239193083,0.07636887608069164,0.0,0.8414634146341463,0.0,0.15853658536585366,0.02804878048780488,0.0,0.0,0.06707317073170732,0.025609756097560974,0.00853658536585366,0.40853658536585363,0.0012195121951219512,0.6946564885496184,0.6361323155216285,0.6030534351145038,0.09669211195928754,0.19720101781170485,0.26590330788804073,0.15521628498727735,0.021628498727735368,0.03307888040712468,0.15521628498727735,0.061068702290076333,0.1005089058524173,0.003816793893129771,0.23027989821882952,0.02544529262086514,0.0,0.007633587786259542,0.003816793893129771,0.07633587786259542,0.003816793893129771,0.006361323155216285,0.11538461538461539,0.6538461538461539,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2022,2
202203,990,36.64419745399197,7.915151515151515,0.44242424242424244,0.5575757575757576,0.016194331983805668,0.13655462184873948,0.0014367816091954023,0.0014367816091954023,0.9095295536791315,0.09047044632086852,0.0,0.8343434343434344,0.0,0.16565656565656567,0.02727272727272727,0.0030303030303030303,0.0,0.08383838383838384,0.03434343434343434,0.007070707070707071,0.3747474747474748,0.00101010101010101,0.69593147751606,0.6370449678800857,0.6124197002141327,0.10171306209850108,0.18950749464668093,0.2494646680942184,0.15203426124197003,0.016059957173447537,0.043897216274089934,0.1670235546038544,0.05353319057815846,0.10706638115631692,0.007494646680942184,0.20985010706638116,0.044967880085653104,0.006423982869379015,0.008565310492505354,0.0021413276231263384,0.06531049250535331,0.008565310492505354,0.0021413276231263384,0.03225806451612903,0.5483870967741935,0.16129032258064516,0.3225806451612903,0.0,0.41935483870967744,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2022,3
202204,1237,36.455353207605675,7.044462409054163,0.44785772029102666,0.5521422797089733,0.012145748987854251,0.126953125,0.0,0.002257336343115124,0.9714847590953786,0.028515240904621434,0.0,0.8205335489086499,0.0,0.17946645109135004,0.015359741309620048,0.0016168148746968471,0.0,0.06952303961196443,0.02263540824575586,0.010509296685529508,0.38156831042845596,0.004850444624090542,0.6712564543889845,0.6230636833046471,0.5843373493975904,0.09466437177280551,0.16695352839931152,0.24612736660929432,0.13855421686746988,0.016351118760757316,0.0387263339070568,0.1359724612736661,0.04819277108433735,0.11273666092943202,0.011187607573149742,0.2082616179001721,0.02323580034423408,0.0034423407917383822,0.006024096385542169,0.0017211703958691911,0.04905335628227195,0.00774526678141136,0.006024096385542169,0.08695652173913043,0.4782608695652174,0.2608695652173913,0.34782608695652173,0.043478260869565216,0.391304347826087,0.13043478260869565,0.043478260869565216,0.17391304347826086,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2022,4
202205,1411,37.59019203324175,8.924167257264351,0.45074415308291993,0.5492558469170801,0.010630758327427357,0.12654320987654322,0.0,0.0018975332068311196,0.945424013434089,0.054575986565911,0.0,0.8412473423104181,0.0,0.15875265768958186,0.012048192771084338,0.003543586109142452,0.0,0.08079376328844791,0.029766123316796598,0.009922041105598866,0.35790219702338766,0.004252303330970942,0.665424739195231,0.6281669150521609,0.563338301043219,0.08420268256333831,0.1587183308494784,0.2511177347242921,0.12071535022354694,0.01713859910581222,0.038748137108792845,0.13487332339791355,0.043964232488822655,0.09612518628912071,0.009687034277198211,0.18330849478390462,0.040983606557377046,0.007451564828614009,0.005961251862891207,0.0037257824143070045,0.07228017883755589,0.005216095380029807,0.005216095380029807,0.18181818181818182,0.5909090909090909,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.0,0.13636363636363635,0.2,0.2,0.0,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,,,,,,,,,,,,,2022,5
202206,1671,37.26767869293262,7.180730101735488,0.4422501496110114,0.5577498503889886,0.0065986802639472104,0.10482921083627797,0.0008064516129032258,0.0016129032258064516,0.9556962025316456,0.04360056258790436,0.0,0.8485936564931179,0.0,0.15080789946140036,0.017354877318970677,0.0023937761819269898,0.0,0.09096349491322561,0.025134649910233394,0.008976660682226212,0.400359066427289,0.0011968880909634949,0.6858213616489693,0.6489693941286696,0.6083697688944409,0.10243597751405371,0.19550281074328546,0.26108682073703937,0.1599000624609619,0.011867582760774516,0.03247970018738289,0.1717676452217364,0.046845721424109935,0.12554653341661462,0.006870705808869456,0.2154903185509057,0.0443472829481574,0.0037476577139287947,0.005621486570893191,0.005621486570893191,0.0905683947532792,0.006246096189881324,0.009369144284821987,0.17142857142857143,0.5714285714285714,0.11428571428571428,0.34285714285714286,0.08571428571428572,0.34285714285714286,0.08571428571428572,0.0,0.08571428571428572,0.5,0.75,0.5,1.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,,,,,,,,,,,,,2022,6
202207,1604,35.814529600655895,5.793017456359102,0.44389027431421446,0.5561097256857855,0.008109794135995009,0.1312410841654779,0.0009191176470588235,0.0009191176470588235,0.9506172839506173,0.04938271604938271,0.0,0.8079800498753117,0.0,0.19201995012468828,0.014962593516209476,0.0006234413965087282,0.0,0.09476309226932668,0.02680798004987531,0.008104738154613466,0.41084788029925184,0.0024937655860349127,0.6999343401181878,0.6736703873933026,0.6296782665791202,0.09192383453709783,0.19829284307288247,0.29546946815495734,0.1680892974392646,0.016414970453053186,0.03742613263296126,0.13328956007879186,0.050558108995403805,0.11818778726198292,0.017071569271175313,0.21667760998030203,0.04333552199606041,0.005909389363099146,0.003282994090610637,0.005252790544977019,0.09980302035456336,0.007222586999343401,0.003939592908732764,0.07407407407407407,0.5925925925925926,0.1111111111111111,0.14814814814814814,0.037037037037037035,0.48148148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2022,7
202208,1761,36.123332529514414,6.546280522430437,0.4798409994321408,0.5201590005678591,0.010227272727272727,0.11929824561403508,0.0008271298593879239,0.0024813895781637717,0.9628040057224606,0.03719599427753934,0.0,0.7932992617830777,0.0,0.2067007382169222,0.014764338444065871,0.0005678591709256105,0.0,0.07666098807495741,0.027257240204429302,0.008517887563884156,0.4287336740488359,0.0005678591709256105,0.7078313253012049,0.6692771084337349,0.6198795180722891,0.08493975903614458,0.19216867469879517,0.2674698795180723,0.1493975903614458,0.01144578313253012,0.03795180722891566,0.15421686746987953,0.045180722891566265,0.09156626506024096,0.010843373493975903,0.1927710843373494,0.0427710843373494,0.009036144578313253,0.0024096385542168677,0.0024096385542168677,0.07771084337349397,0.006626506024096385,0.00783132530120482,0.14285714285714285,0.6428571428571429,0.17857142857142858,0.39285714285714285,0.17857142857142858,0.2857142857142857,0.21428571428571427,0.0,0.10714285714285714,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,2022,8
202209,2153,37.28337341757386,9.021365536460753,0.42591732466326054,0.57361820715281,0.010697674418604652,0.0717614165890028,0.0,0.0013614703880190605,0.937463810075275,0.06253618992472496,0.0,0.7998142127264283,0.0,0.20018578727357175,0.014862981885740827,0.00046446818392940084,0.0,0.09893172317696237,0.02833255921969345,0.009289363678588018,0.42731072921504876,0.0018578727357176034,0.7491425771680549,0.699657030867222,0.6384125428711416,0.09162175404213621,0.18030377266046055,0.2974032337089662,0.1543361097501225,0.01567858892699657,0.041156295933366,0.14208721215090642,0.05242528172464478,0.11562959333659971,0.010779029887310143,0.23174914257716805,0.044585987261146494,0.008819206271435572,0.005389514943655071,0.004409603135717786,0.08966193042626164,0.009799118079372856,0.006369426751592357,0.11764705882352941,0.5294117647058824,0.08823529411764706,0.29411764705882354,0.029411764705882353,0.47058823529411764,0.058823529411764705,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,2022,9
202210,2637,36.74735499209528,9.001896094046264,0.453545695866515,0.5456958665149791,0.005321170657544659,0.0876923076923077,0.0,0.001098297638660077,0.9428436466698158,0.05715635333018422,0.0,0.80128934395146,0.0,0.19871065604854002,0.011376564277588168,0.0003792188092529389,0.0,0.08797876374668183,0.02540766021994691,0.00720515737580584,0.4444444444444444,0.0015168752370117557,0.7094188376753507,0.6861723446893787,0.6392785571142284,0.07695390781563126,0.1523046092184369,0.2521042084168337,0.13386773547094188,0.014829659318637275,0.03647294589178357,0.15030060120240482,0.04448897795591182,0.11663326653306613,0.007214428857715431,0.20561122244488977,0.04168336673346693,0.006412825651302605,0.007615230460921844,0.0052104208416833666,0.08296593186372746,0.006012024048096192,0.006412825651302605,0.09090909090909091,0.5757575757575758,0.3333333333333333,0.40625,0.03125,0.40625,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2022,10
