year,records_brazil
2000,172855
2001,488590
2002,897093
2003,416609
2004,136867
2005,261501
2006,411022
2007,717097
2008,919324
2009,600658
2010,1381254
2011,1150011
2012,950180
2013,2035119
2014,966619
2015,2398060
