feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,score_anova_norm,score_mi_norm,score_rf_norm,composite_score,selected
grav_taqui_flag,3257.903086985114,0.0,0.448396313249795,0.10544043320080354,1.0,1.0,1.0,1.0,True
grav_extre_flag,2953.925407768936,0.0,0.41063863396269906,0.0699162088465552,0.9066942619893535,0.9147050508105709,0.6630872685566923,0.8281621937855389,True
grav_consc_flag,2399.913514217485,1.1304518684702852e-303,0.4254181496702638,0.08162077810176864,0.7366406951360716,0.9480921144522692,0.7740937287911923,0.8196088461265111,True
alrm_vom_flag,1769.6552800806978,3.7505331553050594e-249,0.3916525188501372,0.08319371034145849,0.5431833668708652,0.8718152399321762,0.7890114618840971,0.7346700228957128,True
grav_hipot_flag,1976.7585206739557,3.438684054722209e-268,0.4106371344853712,0.061446085423163196,0.6067535630700668,0.9147016634773208,0.5827563825173561,0.701403869688248,True
alrm_abdom_flag,1432.1251455459708,2.953379382015044e-215,0.447052911868248,0.0703853314781433,0.43957872594853464,0.9969652437664722,0.6675364406375267,0.7013601367841779,True
grav_insuf_flag,1961.627755333348,7.706036033062323e-267,0.39316994355227797,0.0475548908434273,0.6021091851328061,0.8752431164678011,0.45101190691110415,0.6427880695039038,True
alrm_plaq_flag,1521.3074380278078,1.3577480942181654e-224,0.38234465436162424,0.05373367786314259,0.46695316883182736,0.850788687357979,0.5096116947927439,0.6091178503275168,True
grav_pulso_flag,1807.3426722163922,1.0422766401352326e-252,0.3879933396527513,0.03937183205726183,0.554751485773493,0.863549120043216,0.3734035498723822,0.5972347185630305,True
alrm_sang_flag,890.1041188955679,3.4780212384548304e-151,0.38284907661479184,0.03681204884549258,0.27320574738211184,0.8519281819261383,0.349126494723203,0.49142014134381773,True
alrm_letar_flag,1226.052898939505,1.722147709506222e-192,0.37076824686105714,0.01882220869218518,0.3763249926392078,0.82463747499005,0.178510350543986,0.4598242727244146,True
alrm_hipot_flag,793.7623456894895,3.364509359909994e-138,0.3529448465087528,0.03462938288988554,0.24363370685128508,0.784374247584752,0.32842603011632576,0.4521446615174543,True
grav_hemat_flag,1240.8285231941527,3.503960074272425e-194,0.3373602311010442,0.01976934749782607,0.3808603602662087,0.7491684562216266,0.187493041309654,0.43917395259916314,True
grav_orgao_flag,980.0181274348737,8.1818938805341e-163,0.3562991327031184,0.02011699863013397,0.3008047900022418,0.7919516113400769,0.19079017431408526,0.42784885855213456,True
grav_ench_flag,1126.4674896015958,7.838380830761828e-181,0.34074337780941355,0.015163696339036388,0.34575732024521644,0.7568110161468965,0.14381291767038024,0.41546041802083106,True
alrm_hepat_flag,1028.1593461206642,7.389330257579256e-169,0.3067266283810679,0.020351423749716418,0.3155817037210125,0.6799668623518859,0.193013468665845,0.3961873449129145,True
alrm_hemat_flag,287.57430556614065,1.036993739605466e-58,0.32019344036236586,0.028726523962364425,0.08825963867082721,0.7103885160492562,0.2724431519325881,0.3570304355508905,True
grav_conv_flag,1048.4596298702293,2.270801734348734e-171,0.3059539097504065,0.004891581057466316,0.3218128617519667,0.678221283768021,0.046391890747932145,0.34880867875597327,True
alrm_liq_flag,163.30957491797554,2.0432138700436024e-35,0.3413122744224859,0.021311737376931338,0.05011666570084289,0.7580961588946031,0.20212110980561607,0.33677797813368743,True
caso_dengue_alarme,5.117801334651841,0.02383735705530206,0.32759156335997885,0.01051532766649546,0.0015598104098062627,0.7271009448079327,0.09972765994302954,0.2761294717202562,True
grav_melen_flag,528.1114798545507,3.823548026985498e-99,0.2809797636086988,0.00255379983988665,0.1620923576515343,0.6218044550214953,0.024220308683890985,0.2693723737856402,False
exantema_flag,22.69220243312539,2.1030363844977257e-06,0.3305389732117743,0.0026984614782515877,0.006954260649759667,0.7337591711156929,0.025592283684121114,0.2554352384831912,False
gestante,122.63490091524095,2.3212398924349893e-27,0.2733771977532651,0.012918272414678475,0.0376316026990012,0.6046301879427947,0.12251725474303178,0.2549263484616092,False
diabetes_flag,3.8539037260052718,0.049831959541767945,0.298481822677628,0.007174878104620987,0.001171857914581136,0.6613417694746349,0.06804674342485828,0.24352012360469144,False
auto_imune_flag,0.06022291627537213,0.8061806334809136,0.28893277903170445,0.009037518493521711,7.390218658821571e-06,0.6397703909374732,0.08571207665953365,0.2418299526052219,False
caso_dengue_grave,18.6842204401624,1.653765738648472e-05,0.28958511905272855,0.0052787614716496125,0.0057240133541322765,0.6412440331209455,0.05006392056068851,0.2323439890119221,False
vomito_flag,2.781238067680972,0.09560245054785386,0.29859741144082474,0.0020885486198364014,0.0008426039340036763,0.6616028855673048,0.019807853177717067,0.22741778089300854,False
nausea_flag,3.0185448841485902,0.08254153425603593,0.2888872056001659,0.0033709961084291006,0.0009154450968895917,0.6396674401311508,0.031970620814970346,0.22418450201433693,False
conjuntvit_flag,0.5941435824659501,0.44095389703064736,0.2800990241432051,0.004719376703006833,0.00017127679719480425,0.6198148563656244,0.04475869986250082,0.22158161100843998,False
hipertensa_flag,28.705316964962115,9.87143616723716e-08,0.2724616884290698,0.003735194046973396,0.008799981988847082,0.602562043852266,0.035424684189792666,0.2155955700103019,False
hepatopat_flag,0.09148394667047573,0.7623448471617295,0.2413113107902316,0.008751020609364155,1.698577027797202e-05,0.5321930506275081,0.08299492276078266,0.2050683197195229,False
mialgia_flag,0.09599503794458034,0.7567367517038894,0.2544333181701046,0.004947779563806379,1.8370446618843683e-05,0.5618357875187051,0.04692487894452877,0.2029263456366176,False
renal_flag,0.145847047309492,0.7025951843932954,0.23395687157253198,0.009801178028180087,3.367248635117146e-05,0.5155793039345322,0.09295464491799331,0.20285587377962558,False
hematolog_flag,0.04254982088436485,0.8366058453245635,0.22088955181767433,0.010684583856533845,1.9654742741597654e-06,0.4860601068976125,0.1013328903551244,0.1957983209090037,False
acido_pept_flag,0.9156732545055726,0.3387820616676931,0.23856128180700686,0.00637187028989906,0.0002699701072409105,0.5259807095402799,0.06043099498428939,0.1955605582106034,False
grav_ast_flag,353.2323583417869,2.621273984180851e-70,0.20681577327260237,0.0009822620475490268,0.10841333247614396,0.45426731007931204,0.009315800568443985,0.1906654810413,False
artralgia_flag,53.984135491611816,3.455340342648018e-13,0.24754062131512078,0.0008949118522781693,0.01655929782002316,0.5462651211238319,0.008487368887928169,0.19043726261059438,False
cefaleia_flag,8.874301119829052,0.002942915734907588,0.24954213251290502,0.001492071437836784,0.0027128654160046934,0.5507865535619592,0.014150846999985695,0.18921675532598317,False
artrite_flag,14.9099823004554,0.00011801063845334292,0.25246631232904404,0.0005193294239466126,0.004565513572301754,0.557392303002804,0.004925334695444459,0.1889610504235167,False
petequia_n_flag,0.49927748196485405,0.47993765314490977,0.24592014425721964,0.0007130548569766313,0.00014215771337828484,0.5426044483567015,0.006762632088381786,0.18316974605282055,False
laco_flag,39.519732268702754,4.353562212185163e-10,0.22557149709514301,0.0010625165828853755,0.01211945927307081,0.4966366648876545,0.010076936812862765,0.17294435365786273,False
idade_anos,341.5500045711594,2.810961968636163e-68,0.1813011316538684,0.0015194553435976957,0.10482744208089995,0.3966294970159395,0.01441055672356736,0.17195583194013564,False
leucopenia_flag,0.32550429955407556,0.5684117426820802,0.22984398951703833,0.0009579015717109708,8.88181554439487e-05,0.5062882650632597,0.00908476513831005,0.17182061611900457,False
febre_flag,20.02313144920251,8.283447087035413e-06,0.21988803913889066,0.0007140062874475248,0.006134991160631755,0.4837976804280223,0.0067716554814200285,0.16556810902335803,False
dor_retro_flag,2.027996257223117,0.15465130881812778,0.2204746886050586,0.0010830278679470353,0.000611396882201482,0.4851229270362242,0.010271466410655648,0.1653352634430271,False
