ANO_SEMANA,NOTIFICACOES,ANO_EPI,SEMANA_EPI,idade_anos,atraso_notificacao_dias,sexo_masc,sexo_fem,gestante,hospitalizado,obito_agravo,obito_outras_causas,criterio_lab,criterio_clinico_epi,criterio_clinico,caso_confirmado_provavel,caso_descartado,caso_inconclusivo,caso_dengue_alarme,caso_dengue_grave,caso_chikungunya,raca_branca,raca_preta,raca_amarela,raca_parda,raca_indigena,febre_flag,mialgia_flag,cefaleia_flag,exantema_flag,vomito_flag,nausea_flag,dor_costas_flag,conjuntvit_flag,artrite_flag,artralgia_flag,petequia_n_flag,leucopenia_flag,laco_flag,dor_retro_flag,diabetes_flag,hematolog_flag,hepatopat_flag,renal_flag,hipertensa_flag,acido_pept_flag,auto_imune_flag,alrm_hipot_flag,alrm_plaq_flag,alrm_vom_flag,alrm_sang_flag,alrm_hemat_flag,alrm_abdom_flag,alrm_letar_flag,alrm_hepat_flag,alrm_liq_flag,grav_pulso_flag,grav_conv_flag,grav_ench_flag,grav_insuf_flag,grav_taqui_flag,grav_extre_flag,grav_hipot_flag,grav_hemat_flag,grav_melen_flag,grav_metro_flag,grav_sang_flag,grav_ast_flag,grav_mioc_flag,grav_consc_flag,grav_orgao_flag,mani_hemor_flag,epistaxe_flag,gengivo_flag,metro_flag,petequias_flag,hematura_flag,sangram_flag,laco_n_flag,plasmatico_flag,evidencia_flag,plaq_menor_flag,con_fhd_flag
202201,11660,2022,1,33.215176891687626,7.0277873070325905,0.4719554030874786,0.526843910806175,0.009351407000686342,0.06871482176360225,0.0006983936945026439,0.000299311583358276,0.4917216958560628,0.5002392573452005,0.007751937984496124,0.8914535781705852,0.0,0.10828899948515532,0.01578857044791488,0.0012013042732109147,0.0,0.2448542024013722,0.030360205831903946,0.0137221269296741,0.4986277873070326,0.0016295025728987993,0.8531042632487955,0.7569311880738114,0.7633851468048359,0.12317062085264976,0.24015998545586764,0.3194255067721116,0.28224706844832287,0.028179256431233524,0.09953640578129261,0.18625579492773384,0.08962821561676211,0.048450140896282155,0.029451868011998908,0.2987910189982729,0.0228161076265794,0.0041814380510862646,0.005726752113444232,0.004545041359876375,0.05599490955367694,0.005726752113444232,0.005363148804654123,0.06354515050167224,0.44481605351170567,0.2080536912751678,0.20469798657718122,0.040268456375838924,0.2986577181208054,0.05704697986577181,0.02348993288590604,0.0436241610738255,0.045454545454545456,0.05454545454545454,0.03636363636363636,0.02727272727272727,0.06363636363636363,0.06363636363636363,0.045454545454545456,0.02727272727272727,0.01818181818181818,0.0,0.0,0.02727272727272727,0.00909090909090909,0.045454545454545456,0.02727272727272727,,,,,,,,,,,,
202202,11945,2022,2,33.621633065171245,7.249644202595229,0.4707803081044876,0.5287173476222371,0.008374507997655137,0.06334735857877513,0.0005897385492431689,0.001081187340279143,0.5232634646113357,0.4669611805620829,0.009493373437353134,0.8873428331936295,0.0,0.1124056999161777,0.016848281642917014,0.0008382229673093043,0.0,0.2561118553248493,0.03148024112525117,0.012307434695244474,0.5046885465505693,0.001925653047555258,0.8422502666192677,0.7348027017419125,0.7470671880554568,0.14077497333807323,0.23391397084962673,0.3154994667614646,0.28777106292214716,0.03083896196231781,0.10113757554212584,0.18165659438322077,0.09696054034838252,0.05367934589406328,0.032616423746889445,0.2909704941343761,0.024173480270174193,0.005154639175257732,0.005243512264486314,0.0059544969783149665,0.06158905083540704,0.007376466405972271,0.005865623889086385,0.07204610951008646,0.40804597701149425,0.11206896551724138,0.21264367816091953,0.020172910662824207,0.23275862068965517,0.040345821325648415,0.008670520231213872,0.02023121387283237,0.013888888888888888,0.0,0.020833333333333332,0.020833333333333332,0.034722222222222224,0.034722222222222224,0.020833333333333332,0.006944444444444444,0.0,0.0,0.0,0.006944444444444444,0.0,0.04861111111111111,0.0,,,,,,,,,,,,
202203,13045,2022,3,33.86728125858685,7.524952088922959,0.45795323878880795,0.5408968953622078,0.009739263803680981,0.06822508990903321,0.0008981498113885396,0.0006287048679719777,0.5564239093095157,0.43378564067330816,0.009618687736173137,0.8899547233520068,0.0,0.10989179648530427,0.018417619522676693,0.0013045813828562658,0.0,0.2578394541133175,0.032431189143601935,0.011883769071532622,0.48915126887985894,0.002070075902783102,0.8205065954519706,0.732378408998948,0.741846726551752,0.1498745650238731,0.23419923929756414,0.3179574330339079,0.2697256615683418,0.03148013271829732,0.0980011329610747,0.18386339726470827,0.10504167678239054,0.05559601845108036,0.032936796957190255,0.2851824876588169,0.026383943023632242,0.005827128520556815,0.005260602136613791,0.004127549368727744,0.06320815797992878,0.005827128520556815,0.004370346390417611,0.08055555555555556,0.4583333333333333,0.12569832402234637,0.23676880222841226,0.030726256983240222,0.28212290502793297,0.07262569832402235,0.013966480446927373,0.030726256983240222,0.04424778761061947,0.035398230088495575,0.04424778761061947,0.04424778761061947,0.07079646017699115,0.08849557522123894,0.061946902654867256,0.04424778761061947,0.061946902654867256,0.017699115044247787,0.008849557522123894,0.0,0.0,0.07079646017699115,0.02654867256637168,,,,,,,,,,,,
202204,13786,2022,4,34.23199925872787,7.61620484549543,0.45161758305527344,0.5471492818801683,0.008056321672231094,0.07676958622138207,0.0007635530669381522,0.0004241961482989734,0.5952052011377489,0.39382364892320193,0.010889882161722876,0.888372430822863,0.0,0.11155494226160215,0.01815672888372431,0.0014525383106979448,0.0,0.2474249238357754,0.026838821993326562,0.011751051791672712,0.4786740171188162,0.002611344842593936,0.8091503267973856,0.7244905805459438,0.7273356401384083,0.1517108804306036,0.22921953094963476,0.3133410226835832,0.2638216070742022,0.027989234909650135,0.08604382929642446,0.17923875432525951,0.10226835832372165,0.06113033448673587,0.035063437139561705,0.2798154555940023,0.02445213379469435,0.004690503652441369,0.005382545174932718,0.004382929642445213,0.060976547481737794,0.006305267204921184,0.004690503652441369,0.06299212598425197,0.4973821989528796,0.1732283464566929,0.2047244094488189,0.04461942257217848,0.27034120734908135,0.047244094488188976,0.02099737532808399,0.03412073490813648,0.05042016806722689,0.025210084033613446,0.025210084033613446,0.05042016806722689,0.04201680672268908,0.05042016806722689,0.05042016806722689,0.058823529411764705,0.05042016806722689,0.025210084033613446,0.01680672268907563,0.01680672268907563,0.008403361344537815,0.058823529411764705,0.008403361344537815,,,,,,,,,,,,
202205,17244,2022,5,34.60951089201567,9.039549988401763,0.4531431222454187,0.5458710276038042,0.0069597494490198355,0.07746478873239436,0.0009951569030717177,0.000132687587076229,0.5856456264017943,0.40711310477411083,0.007241268824094841,0.9009975640876928,0.0,0.09900243591230716,0.02093724625913467,0.0016819394501797935,0.0,0.26072836928786824,0.02702389236836001,0.012874043145441893,0.45656460218046857,0.0021456738575736487,0.8047210300429185,0.7188228080931943,0.7120784794604537,0.15334150827713058,0.2268546903740037,0.32752912323727773,0.25211526670754136,0.026118945432250153,0.08510116492949112,0.1815450643776824,0.10980993255671367,0.0641937461679951,0.034886572654813,0.27467811158798283,0.027958307786633968,0.004537093807480074,0.0057633353770692826,0.003801348865726548,0.06830165542611895,0.00533415082771306,0.005150214592274678,0.11434511434511435,0.5666666666666667,0.20997920997921,0.2053941908713693,0.0498960498960499,0.33264033264033266,0.07276507276507277,0.020833333333333332,0.04375,0.0603448275862069,0.0603448275862069,0.04310344827586207,0.10344827586206896,0.09482758620689655,0.08620689655172414,0.09482758620689655,0.017241379310344827,0.034482758620689655,0.008620689655172414,0.017241379310344827,0.0,0.008620689655172414,0.06896551724137931,0.02586206896551724,,,,,,,,,,,,
202206,19087,2022,6,34.3285203201969,8.235537623139804,0.4576937182375439,0.5416775816000419,0.007075842549399864,0.07232704402515723,0.0012090436464756377,0.00018135654697134566,0.6019711902956786,0.3933632705429521,0.004548900682335102,0.8946182466069277,0.0,0.1052769480689619,0.019546192946601686,0.0019913011580988313,0.0,0.2773091633048672,0.027977157227432284,0.011473777964059307,0.4552837009482894,0.0017289254466390737,0.8285,0.7447777777777778,0.7356666666666667,0.15605555555555556,0.23722222222222222,0.3357222222222222,0.2584444444444444,0.028055555555555556,0.08633333333333333,0.19344444444444445,0.1121111111111111,0.06794444444444445,0.03272222222222222,0.29005555555555557,0.03216666666666667,0.006,0.006611111111111111,0.004277777777777778,0.07194444444444445,0.0055,0.005277777777777778,0.10727969348659004,0.5992366412213741,0.1420345489443378,0.20306513409961685,0.07265774378585087,0.3365200764818356,0.053742802303262956,0.019157088122605363,0.05182341650671785,0.05,0.05714285714285714,0.05,0.05714285714285714,0.11428571428571428,0.1,0.08571428571428572,0.02857142857142857,0.05,0.03571428571428571,0.0,0.02857142857142857,0.0,0.07857142857142857,0.02857142857142857,,,,,,,,,,,,
202207,20872,2022,7,34.67127634124762,7.824637056202386,0.45266385588348024,0.5468091222690686,0.0069011789514041985,0.06772381896266931,0.0012353304508956147,0.00016845415239485654,0.5890551011622901,0.4066939302625915,0.004197158846319414,0.8863047856526326,0.0,0.11364726191617915,0.0176944471084684,0.00153447779802436,0.0,0.3212916826370257,0.027069758528171714,0.010348792640858567,0.44499808355691833,0.002395553852050594,0.8223399378597259,0.7441043141649264,0.744817399276728,0.16227779758569755,0.23949472826363774,0.35730657566342383,0.2733662710742118,0.02862527377374828,0.09891509193704477,0.1930423266948505,0.11572352671522437,0.06988234095655274,0.03601079814597871,0.2980186420822085,0.030917333061681863,0.005246269036825753,0.004889726480924973,0.005246269036825753,0.0819029185554933,0.005602811592726532,0.0054500076401976265,0.10474308300395258,0.5680473372781065,0.18774703557312253,0.1600790513833992,0.11089108910891089,0.2693069306930693,0.06336633663366337,0.019801980198019802,0.027722772277227723,0.07633587786259542,0.061068702290076333,0.05343511450381679,0.061068702290076333,0.06870229007633588,0.06870229007633588,0.07633587786259542,0.04580152671755725,0.03816793893129771,0.007633587786259542,0.007633587786259542,0.015384615384615385,0.0,0.07633587786259542,0.022900763358778626,,,,,,,,,,,,
202208,21874,2022,8,35.59275035351912,7.709321995153843,0.4476956839795172,0.5517099487929773,0.008552872301500184,0.06869895891777321,0.0012217795484727755,0.0005843293492695883,0.5923037716615698,0.40351681957186547,0.004128440366972477,0.893224758680635,0.0,0.10672949357244156,0.017429891577839793,0.0015096756484743127,0.0,0.34647037307973666,0.027066569129480616,0.010515727871250914,0.4204919531821507,0.002240307242136064,0.8176827506501011,0.749494365790234,0.7406337282095733,0.15925069825676585,0.23971877106809208,0.3590484445728595,0.28045844168352113,0.029760184917653858,0.0998266396995088,0.20514302224790523,0.11037272464605605,0.06746605027448714,0.03645381874217471,0.29774631609361457,0.0341905037079842,0.005778676683039584,0.005248964653760955,0.004574785707406337,0.08427236829432727,0.0059712992391409035,0.0047674082635076566,0.13409961685823754,0.5324427480916031,0.20801526717557253,0.21223709369024857,0.09369024856596558,0.29961832061068705,0.06118546845124283,0.021032504780114723,0.040152963671128104,0.05755395683453238,0.04316546762589928,0.04316546762589928,0.05755395683453238,0.07913669064748201,0.07913669064748201,0.07194244604316546,0.04316546762589928,0.04316546762589928,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.07913669064748201,0.03597122302158273,,,,,,,,,,,,
202209,34406,2022,9,36.60780794246626,7.353399412841903,0.45116562990523806,0.5482820766234521,0.006862659571374568,0.060922712933753946,0.0009047954157032271,0.0004021312958681009,0.6150273571701235,0.38051915001908637,0.0044216821478559615,0.9109262276006517,0.0,0.08904468233651384,0.015737723993483825,0.0010763323248778216,0.0,0.4058021569140432,0.025667858492485682,0.009592744396965204,0.3668207319554664,0.002325513793203686,0.8379837437826034,0.7641635326944074,0.7513951231347811,0.16529176270775203,0.2391119737959481,0.37662258886327793,0.3012252820575033,0.036030571393909985,0.10818270047312871,0.20138299162926118,0.1111245905616887,0.07324396457600388,0.03584859881111246,0.2974948441101541,0.03748635205629019,0.006763314327308019,0.006308382870314206,0.005550163775324518,0.09611185248089288,0.006399369161712969,0.005792793885721218,0.13739376770538245,0.5522598870056498,0.19574468085106383,0.192090395480226,0.06373937677053824,0.28995756718529,0.0679886685552408,0.008522727272727272,0.02553191489361702,0.08695652173913043,0.0375,0.05,0.0625,0.075,0.09375,0.05625,0.03125,0.031055900621118012,0.0125,0.0,0.0,0.00625,0.06875,0.05625,,,,,,,,,,,,
202210,45320,2022,10,36.66664999677585,6.11072374227714,0.4450990776291981,0.5542610000441326,0.006202816652686415,0.05009205950258643,0.0010540581237765397,0.0002760628419414747,0.611589008363202,0.3825089605734767,0.005830346475507766,0.919819760121927,0.0,0.08013606343736886,0.015019989839418638,0.0012811167804210014,0.0,0.454830310251997,0.025221766185621608,0.007767333068537888,0.3315018315018315,0.001941833267134472,0.832966629996333,0.7773881554822148,0.7673725705903923,0.1573157315731573,0.23858635863586358,0.38696369636963696,0.3111019435276861,0.03252200220022002,0.10753575357535754,0.19905115511551155,0.10451045104510451,0.06602951961862853,0.03387422075540887,0.30136138613861385,0.03850385038503851,0.006142280894756142,0.006027686101943527,0.0049046571323799045,0.09729097909790979,0.005798496516318298,0.005546387972130546,0.12267250821467689,0.5848849945235487,0.17142857142857143,0.1573157315731573,0.08360836083608361,0.26512651265126513,0.05066079295154185,0.0176017601760176,0.034103410341034104,0.057777777777777775,0.04,0.05333333333333334,0.09251101321585903,0.09734513274336283,0.084070796460177,0.0752212389380531,0.04,0.04888888888888889,0.022222222222222223,0.008888888888888889,0.0044444444444444444,0.013333333333333334,0.06222222222222222,0.04,,,,,,,,,,,,
