param,importance
learning_rate,0.3607411431208311
colsample_bytree,0.2279270143231197
min_child_weight,0.1646791870333625
subsample,0.09683673377248182
reg_alpha,0.07216388270230657
n_estimators,0.04768684994506932
max_depth,0.02952882382755412
reg_lambda,0.00043636527527480715
