k,silhouette,inertia
2,0.1095134080440623,5428311.404928124
3,0.1084760617451821,5346398.243244638
4,0.1072968889006314,5393050.172350973
5,0.008058125730640138,5130470.802550634
6,-0.020952853116976405,5013601.7942605
