k,silhouette,inertia
3,0.20235137098286365,7026675.125854118
2,0.09632837218411894,6988180.396068429
4,0.086406136877227,6972747.032221262
5,-0.044511913888902424,6831115.1837500185
6,-0.05138883188827039,6723101.103171865
