feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,anova_f_norm,mutual_information_norm,random_forest_importance_norm,composite_score,selected
indice_sintomas,217707.26644808013,0.0,0.6594588935456375,0.1653904923936156,1.0,0.9481604974299529,0.7599721430033272,0.9027108801444267,True
indice_carga_clinica,131952.21805131354,0.0,0.6482731522793078,0.1874193382202339,0.6060992827852263,0.9320777997712976,0.8611950665732145,0.7997907163765795,True
cluster_id,inf,0.0,0.6955139929718029,0.21762704582829892,0.0,1.0,1.0,0.6666666666666666,True
prop_febre,161854.1977172784,0.0,0.46869702363979115,0.09396632044230195,0.7434487619910389,0.6738858288632487,0.43177685055026893,0.6163704804681855,True
prop_cefaleia,168624.4217760713,0.0,0.48031943490719065,0.07480497812146616,0.7745465942740394,0.6905963643590755,0.3437301546632444,0.6029577044321197,True
prop_mialgia,156606.63393336043,0.0,0.4783028675234706,0.07954991757517837,0.7193450016088863,0.6876969728240416,0.3655332326568492,0.590858402363259,True
prop_nausea,20924.89096961026,0.0,0.21958305206049733,0.02631022945382311,0.09611480273948747,0.3157133490905905,0.12089595460750349,0.1775747021458605,True
prop_artralgia,17759.226863320917,0.0,0.221347401166192,0.028359408134281203,0.08157388199789933,0.31825010481876204,0.1303119657133788,0.17671198417668008,True
prop_dor_retro,14946.590115485971,0.0,0.18279503506787975,0.02325655013356757,0.06865453027517805,0.2628200682014035,0.10686424587096714,0.14611294811584957,True
prop_dor_costas,15384.058803044394,0.0,0.18725623166593763,0.01227257539850808,0.07066396567297517,0.26923431240517004,0.05639269398616368,0.13209699068810296,True
prop_exantema,10135.353095393295,0.0,0.16077062297185352,0.0221914650203699,0.04655496006519572,0.23115368575822653,0.10197016154820338,0.12655960245720854,True
prop_vomito,11593.070215262296,0.0,0.16426925178346052,0.016215913574696324,0.05325072701708405,0.23618396386472157,0.07451240039112686,0.12131569709097749,True
indice_comorbidades,3837.717862671633,0.0,0.10670262660538476,0.007951357034199191,0.017627881353178766,0.1534154994487805,0.03653662164983193,0.06919333415059707,True
prop_artrite,4681.255279972078,0.0,0.09465896837447119,0.0062148878584944575,0.02150252197065956,0.13609930113700644,0.028557516069936516,0.06205311305920083,True
prop_hipertensa,3805.8345058024856,0.0,0.0914247837952733,0.0052757690085367594,0.017481430766621283,0.131449237138468,0.024242248882517938,0.05772430559586908,True
prop_petequia_n,3496.7643563801357,0.0,0.08747791071209532,0.004139389979156596,0.01606177144856146,0.12577447987540602,0.01902056779478801,0.05361893970625183,True
idade_media_anos,1881.4111399779106,0.0,0.05163030176993311,0.005052007181553275,0.008641930839853701,0.07423330413429406,0.023214059458120634,0.035363098144089465,True
prop_leucopenia,2137.4888544944215,0.0,0.05772971636878066,0.002411300105377222,0.009818178737750951,0.08300295458055737,0.011079965250641062,0.034633699522983126,True
prop_diabetes,1526.3375262206462,0.0,0.05298643526164515,0.0026449455368911675,0.007010962707506387,0.07618313333315394,0.012153570007001558,0.03178255534922062,True
prop_conjuntvit,1674.2348235590164,0.0,0.050820613984367435,0.00190633582597096,0.007690302904787498,0.0730691467000115,0.008759645744927312,0.02983969844990877,True
prop_laco,1627.4781458515995,0.0,0.04831202284674996,0.0010175682377718451,0.007475534337480317,0.06946233049937874,0.004675743466989279,0.027204536101282775,True
indice_confirmacao,2267.140476148178,0.0,0.029544066216436127,0.00194983457587062,0.01041371063601525,0.0424780328145517,0.008959523245143803,0.02061708889857025,True
prop_confirmado_provavel,1953.0697100954396,0.0,0.026676023700740403,0.0016137877470612269,0.008971081865846756,0.038354402600526666,0.0074153823157368775,0.018246955594036766,True
indice_alarme,1306.787932766271,4.2522238739850505e-283,0.019461188230744053,0.00028158691593585837,0.006002500302753652,0.027981016093709326,0.001293896697738671,0.011759137698067216,True
indice_hemorragico,158.53925970237154,2.622904057330843e-36,0.01830945608161194,0.0010845291476248725,0.000728222177830618,0.02632507220074612,0.004983429993717476,0.010678908124098071,True
indice_desfecho_severo,307.6695156144306,1.0440449405159596e-68,0.017675390415561543,0.0003615829175873109,0.0014132257532515806,0.0254134217200115,0.0016614796943601798,0.009496042389207754,False
prop_hepatopat,280.3554665403898,8.728175823055942e-63,0.01701957188766512,0.00012811181197080597,0.0012877634776019306,0.024470495287871392,0.0005886759684817956,0.00878231157798504,False
prop_hospitalizado,200.0554167807248,2.4027959933303964e-45,0.0168351749959339,0.00020111165179007923,0.000918919336247488,0.02420537209323468,0.0009241114817537438,0.00868280097041197,False
prop_hematolog,285.0406611023523,8.409305502298727e-64,0.015688563869530547,0.00028872071113059523,0.0013092840939708836,0.022556791132980963,0.0013266766087446091,0.008397583945232151,False
prop_auto_imune,271.38246760674826,7.717015265201849e-61,0.015540915815744905,0.000139847761268355,0.0012465475867406055,0.022344504888163988,0.0006426028563503574,0.008077885110418317,False
prop_renal,251.67215247032885,1.462499245747179e-56,0.014963385565336829,0.00030553019719018783,0.0011560117242588631,0.0215141402136297,0.0014039164848620967,0.008024689474250219,False
prop_alrm_plaq,1168.5705532584789,1.1463868015899174e-253,0.011298762801121631,0.0003020257099484225,0.005367623103830414,0.01624519839326899,0.0013878133060112002,0.007666878267703535,False
prop_alrm_sang,542.0252287551674,2.3185616289504927e-119,0.01316207782261225,1.9071581000164816e-05,0.0024896974620938167,0.018924245889537204,8.763424108238693e-05,0.007167192530904469,False
qt_confirmados_provaveis,104.81731765464232,1.4031924234757762e-24,0.012548873620276568,0.0005906602848322973,0.0004814598950450726,0.01804258972081575,0.002714094117228013,0.007079381244362945,False
prop_acido_pept,275.9535652138969,7.866291735436776e-62,0.012209865400447661,0.00011610207944621002,0.0012675441188349477,0.017555168585864332,0.0005334910419994903,0.006452067915566257,False
prop_mani_hemor,595.321040356972,7.598479053785253e-131,0.006545555312496454,0.0013424641530013978,0.002734502389698357,0.009411105137552308,0.00616864575766268,0.0061047510949711154,False
