feature,mean_abs_shap,is_inmet,rank
temp_mean_c_lag_4,0.002736998,True,59
prop_artralgia,0.0027051507,False,60
rain_sum_mm_lag_1,0.002619421,True,61
prop_dor_costas,0.0024372756,False,62
prop_mialgia,0.002401368,False,63
prop_raca_branca,0.0023346543,False,64
radiation_mean_kj,0.002276782,True,65
rain_sum_mm_lag_2,0.0020165045,True,66
notificacoes_lag_3,0.002014957,False,67
indice_confirmacao,0.0019974618,False,68
qt_hospitalizados,0.001939674,False,69
indice_carga_clinica,0.0019005112,False,70
temp_mean_c_lag_2,0.0018894827,True,71
notificacoes_lag_8,0.0018604841,False,72
temp_range_c,0.0018129657,True,73
label_surto_local,0.0017934989,False,74
temp_range_c_lag2,0.0017119942,True,75
prop_leucopenia,0.00167117,False,76
qt_inconclusivos,0.0016710623,False,77
notificacoes_pct_change_4,0.001659247,False,78
prop_cefaleia,0.0015336148,False,79
prop_raca_parda,0.0015251485,False,80
is_zero_notification_week,0.0013954855,False,81
rain_sum_mm,0.0011300126,True,82
rain_heavy_days_lag4,0.0011114334,True,83
prop_inconclusivo,0.0009759823,False,84
prop_nausea,0.0008953399,False,85
prop_sexo_masc,0.0008883636,False,86
prop_vomito,0.0008722253,False,87
prop_hospitalizado,0.0008688525,False,88
prop_laco,0.00082996424,False,89
rain_days,0.0007436018,True,90
prop_hipertensa,0.00067831133,False,91
indice_desfecho_severo,0.0006748356,False,92
prop_raca_preta,0.0005969237,False,93
label_crescimento_acelerado,0.00057963835,False,94
prop_artrite,0.0005630782,False,95
prop_gestante,0.00055239577,False,96
prop_criterio_clinico,0.0005297097,False,97
indice_comorbidades,0.00048316535,False,98
indice_alarme,0.00043987922,False,99
prop_conjuntvit,0.00038933547,False,100
prop_diabetes,0.0003510347,False,101
rain_heavy_days,0.00033009093,True,102
prop_alrm_plaq,0.00026289513,False,103
qt_dengue_alarme,0.00024703293,False,104
rain_heavy_days_lag2,0.00024648098,True,105
prop_renal,0.0002334428,False,106
prop_raca_amarela,0.00021214571,False,107
prop_dengue_alarme,0.00020751933,False,108
prop_acido_pept,0.00018625593,False,109
prop_auto_imune,0.00013295187,False,110
prop_raca_indigena,0.000110063236,False,111
prop_hepatopat,0.00010580659,False,112
prop_hematolog,8.982178e-05,False,113
prop_alrm_sang,6.545148e-05,False,114
prop_alrm_letar,6.50155e-05,False,115
prop_alrm_hepat,6.2975225e-05,False,116
prop_alrm_vom,6.2694824e-05,False,117
qt_dengue_grave,5.917138e-05,False,118
prop_dengue_grave,3.602844e-05,False,119
prop_obito_outras_causas,3.520211e-05,False,120
prop_alrm_hipot,2.837263e-05,False,121
